gene_id	gene_name	control_rep1	control_rep2	control_rep3	imatinib_rep1	imatinib_rep2	imatinib_rep3
DRAXIN	DRAXIN	0	0	0	0	0	0
DRC1	DRC1	0	0	2	1	4	0
DRD1	DRD1	0	0	0	2	0	0
DRD2	DRD2	0	0	0	2	2	3
DRD3	DRD3	0	0	0	0	0	0
DRD4	DRD4	9	0	2	4	8	6
DRD5	DRD5	0	0	0	0	0	0
DRG1	DRG1	1964.951	2017.747	1598.127	1171.701	1251.342	1265.648
DRG2	DRG2	717.179	816.118	713.445	594.021	728.786	566.89
DRGX	DRGX	0	0	0	0	0	0
DROSHA	DROSHA	3605.529	3991.487	3833.257	2853.289	3485.982	3401.786
DRP2	DRP2	9	19	18	26.005	28	25
DSC1	DSC1	2	0	1	1	4	2
DSC2	DSC2	685.237	893.35	756.429	1007.076	1207.678	1011.113
DSC3	DSC3	32	66	53	35	48	40
DSCAM	DSCAM	0	0	0	0	0	0
DSCAM-AS1	DSCAM-AS1	0	0	0	0	0	0
DSCAM-IT1	DSCAM-IT1	0	0	0	0	0	0
DSCAML1	DSCAML1	0	0	0	0	0	0
DSCC1	DSCC1	935.088	1006.661	1107.829	720.844	822.336	948.617
DSCR10	DSCR10	3	0	1	26	29	5
DSCR3	DSCR3	1319.563	1471.701	1229.254	1476.12	1601.779	1338.129
DSCR4	DSCR4	157	174.062	123.259	219	223.172	137.046
DSCR8	DSCR8	243.004	314.027	182.112	495.076	574.365	393.984
DSCR9	DSCR9	17	11	7	11	18.238	7
DSE	DSE	1	2	1	6	16	4
DSEL	DSEL	14	17	20	4	19	5
DSERG1	DSERG1	0	3	0	0	3	2
DSG1	DSG1	0	7	7	6	13	8
DSG2	DSG2	1911.275	2078.178	1974.589	1443.525	1763.17	1818.427
DSG3	DSG3	10	5	16	8	7	13
DSG4	DSG4	0	0	0	0	0	0
DSN1	DSN1	746.56	860.671	820.375	1547.849	1802.793	1530.014
DSP	DSP	12	6	7	38	58	36
DSPP	DSPP	0	0	0	0	0	0
DST	DST	1080.349	1132.217	1254.433	1611.132	1881.669	1339.117
DSTN	DSTN	1216.887	1447.361	1250.551	1391.445	1415.21	1387.676
DSTNP2	DSTNP2	30	35	32	66	53	55.034
DSTNP4	DSTNP4	0	0	0	0	0	0
DSTYK	DSTYK	1037.639	1070.061	1062.203	963.218	1111.537	919.77
DTD1	DTD1	362.012	335.505	252.337	258.594	266.211	260.167
DTD2	DTD2	211.994	278	240.242	188.142	236.042	236.501
DTHD1	DTHD1	0	0	2	2	5	3
DTL	DTL	2053.457	2285.18	2119.963	2617.89	3069.729	2905.003
DTNA	DTNA	206.999	196.016	162.052	471.647	484.355	429.572
DTNB	DTNB	3	6	4	2	3	4
DTNBP1	DTNBP1	865.44	899.987	783.374	701.399	771.157	765.241
DTWD1	DTWD1	260.016	319.012	330.756	252.027	327.797	325.272
DTWD2	DTWD2	165.342	203	147.528	153.205	138.058	157.98
DTX1	DTX1	0	0	0	0	0	0
DTX2	DTX2	351.956	367.208	306.834	378.746	417.161	335.392
DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11	19.549	33.395	23.123	35.729	41.619	33.99
DTX3	DTX3	0	0	0	0	0	0
DTX3L	DTX3L	500	531.603	520.594	789.002	905.045	770.326
DTX4	DTX4	1	4	2	2	3	2
DTYMK	DTYMK	1021.372	1043.523	824.127	812.395	867.951	934.414
DUOX1	DUOX1	0	5	3	1	3	1
DUOX2	DUOX2	1	0	0	2	5	1
DUOXA1	DUOXA1	0	0	0	0	0	0
DUOXA2	DUOXA2	0	0	0	0	0	0
DUPD1	DUPD1	0	0	0	0	0	0
DUS1L	DUS1L	2235.212	2071.022	1867.949	1320.808	1538.743	1458.98
DUS2	DUS2	538.529	615.391	494.575	411.399	461.3	431.3
DUS3L	DUS3L	1249.623	1212.042	1006.899	599.075	717.161	735.938
DUS4L	DUS4L	195.383	242.486	207.017	231.576	256.749	191.511
DUSP1	DUSP1	116	151.319	160.874	278	292.034	239.398
DUSP10	DUSP10	136	182.057	181.008	140	164.097	116
DUSP11	DUSP11	396.429	465.955	415.423	368.132	402.851	450.024
DUSP12	DUSP12	659.014	675.149	565.742	357.698	457.075	452.769
DUSP13	DUSP13	593.108	659.775	587.352	1190.411	1289.399	783.174
DUSP14	DUSP14	521.005	576.003	491.033	294	329.98	336.619
DUSP15	DUSP15	0	0	0	0	0	0
DUSP16	DUSP16	425.964	487	492.478	416.001	558.162	433.775
DUSP18	DUSP18	35.93	38	28.001	50	55.071	38.176
DUSP19	DUSP19	85.001	86	89.007	281.12	290.164	201.029
DUSP2	DUSP2	0	0	0	0	0	0
DUSP21	DUSP21	4	7	2	79	100.337	45
DUSP22	DUSP22	503.004	546.085	461.861	697.4	800.464	636.306
DUSP23	DUSP23	105.098	106	85.152	67.378	66.325	74.918
DUSP26	DUSP26	0	0	0	0	0	0
DUSP27	DUSP27	0	0	0	0	0	0
DUSP28	DUSP28	40.443	50.389	38.706	87.242	89.547	64.591
DUSP3	DUSP3	930.418	1017.746	896.902	766.514	887.13	842.698
DUSP4	DUSP4	9	9	9	5	4	10
DUSP5	DUSP5	73	59	55	8	6	12
DUSP5P1	DUSP5P1	1	0	1	2	0	0
DUSP6	DUSP6	11	2	9	1	5	3
DUSP7	DUSP7	572.696	542.254	464.022	250	298.865	260
DUSP8	DUSP8	15	11	14	22.001	40	16
DUSP9	DUSP9	151	168.985	118.136	40	42	62.981
DUT	DUT	1777.23	1848.393	1512.3	1264.008	1531.655	1692.683
DUX2	DUX2	0	0	0	0	0	0
DUX4	DUX4	0	0	0	0	0	0
DUX4L	DUX4L	0	0	0	0	0	0
DUX4L4	DUX4L4	1	0	0	0	0	0
DUX4L7	DUX4L7	0	0	0	0	0	0
DUXA	DUXA	1	0	0	0	0	0
DVL1	DVL1	1778.5	1752.474	1549.388	1088.235	1177.167	1231.068
DVL2	DVL2	855.471	977.178	820.655	1135.567	1354.965	1138.148
DVL3	DVL3	2161.289	2202.933	1917.401	2683.277	3245.349	2332.872
DXO	DXO	233.247	230.954	176.12	235.085	279.92	244.863
DYDC1	DYDC1	0	0	0	0	0	0
DYDC2	DYDC2	0	0	0	0	0	0
DYM	DYM	522.921	604.647	528.663	607.008	667.827	587.857
DYNAP	DYNAP	0	0	0	0	0	0
DYNC1H1	DYNC1H1	10816.944	11892.007	11729.219	9988.378	11895.288	8935.732
DYNC1I1	DYNC1I1	20	22	23.045	45.91	48	32
DYNC1I2	DYNC1I2	2783.87	3243.782	3046.636	3498.918	4082.687	3275.86
DYNC1LI1	DYNC1LI1	1849.337	2098.996	1846.66	1525.673	1793.846	1524.259
DYNC1LI2	DYNC1LI2	2758.903	2824.997	2592.65	2930.381	3357.085	2857.373
DYNC2H1	DYNC2H1	69	82	67	97.848	130	85.62
DYNC2LI1	DYNC2LI1	228.163	267.152	225.446	371.21	363.996	304
DYNLL1	DYNLL1	3039.646	3172.39	2466.194	2251.246	2382.348	2658.232
DYNLL1-AS1	DYNLL1-AS1	218	192	180.111	205.632	206.507	202.246
DYNLL2	DYNLL2	1169.73	1329.142	1108.46	1108.481	1154.772	1078.021
DYNLRB1	DYNLRB1	1554.643	1509.552	1255.748	1524.785	1729.408	1409.033
DYNLRB2	DYNLRB2	0	0	0	0	0	0
DYNLT1	DYNLT1	551.444	708.808	477.499	535.341	670.422	584.267
DYNLT3	DYNLT3	148	187	182.335	139.169	167	160.288
DYRK1A	DYRK1A	1850.725	1981.755	1784.321	2442.184	2830.62	2290.113
DYRK1B	DYRK1B	163	122	131	374.655	481.002	242
DYRK2	DYRK2	702.296	695.035	645.375	381	449.063	434.02
DYRK3	DYRK3	634.647	648.011	591.14	846	1038.269	757.978
DYRK4	DYRK4	118.459	102	99.939	100	133.125	113
DYSF	DYSF	694.128	637.79	541.232	2598.047	2953.007	2110.731
DYTN	DYTN	0	0	0	0	0	0
DYX1C1	DYX1C1	0	0	0	0	0	0
DYX1C1-CCPG1	DYX1C1-CCPG1	0	0	0	0	0	0
DZANK1	DZANK1	5	1	6	6	4	3
DZIP1	DZIP1	30	36	45	31	11	30
DZIP1L	DZIP1L	63.001	75.01	78.001	50	72	50.001
DZIP3	DZIP3	428.941	511.542	465.58	1016.926	1295.016	845.109
E2F1	E2F1	492.214	462.059	426.887	540.06	623.044	605.632
E2F2	E2F2	770.679	829.258	791.711	1393.342	1657.514	1417.567
E2F3	E2F3	1999.242	2125.855	2063.141	1787.044	1970.246	2053.205
E2F4	E2F4	4068.831	3968.851	3293.338	3337.506	3895.217	3429.595
E2F5	E2F5	301.904	328.933	303.507	143.223	166.797	198.203
E2F6	E2F6	829.98	809.704	716.931	564.097	688.556	640.259
E2F7	E2F7	700.435	677.002	696.747	814.091	920.533	968.351
E2F8	E2F8	725.998	776.152	650.958	824.886	985.428	850.422
E4F1	E4F1	1136.356	1107.543	946.318	865.067	996.175	810.398
EAF1	EAF1	1128.419	1305.655	1156.611	924.179	1018.428	952.183
EAF2	EAF2	90.732	122.002	85.115	125.674	147.471	128
EAPP	EAPP	346.416	344.068	306.571	478.51	605.49	470.77
EARS2	EARS2	1359.989	1297.691	1145.68	402.033	481.85	676.333
EBAG9	EBAG9	615.395	693.668	582.544	611.173	724.498	654.192
EBF1	EBF1	0	0	0	0	0	0
EBF2	EBF2	0	0	0	0	0	0
EBF3	EBF3	0	0	0	0	0	0
EBF4	EBF4	0	0	0	0	3	4
EBI3	EBI3	0	2	1	0	0	0
EBLN1	EBLN1	0	0	2	0	1	1
EBLN2	EBLN2	8	9	10	17	7	10.019
EBNA1BP2	EBNA1BP2	3797.804	4204.82	3849.156	1175.286	1196.619	1545.624
EBP	EBP	1184.239	1162.507	1007.021	1224.182	1124.776	999.541
EBPL	EBPL	168.646	243	148.586	97.028	105	95.684
ECD	ECD	1296.858	1400.828	1309.554	911.097	1132.845	1014.351
ECE1	ECE1	523.049	544.005	473.342	286.075	327.067	355.841
ECE2	ECE2	205	166	182.197	51.981	53.748	65.029
ECEL1	ECEL1	0	0	0	0	0	0
ECEL1P2	ECEL1P2	0	0	0	0	0	0
ECH1	ECH1	1868.412	2015.013	1451.693	4374.153	4698.694	3134.34
ECHDC1	ECHDC1	1021.865	1095.627	1106.949	861.303	1069.88	986.768
ECHDC2	ECHDC2	28	43	20	20	26	15
ECHDC3	ECHDC3	264.053	366	252	268	288.808	207
ECHS1	ECHS1	1095.359	1296.239	1140.869	1032.695	1200.11	1028.177
ECI1	ECI1	494.907	531.368	506.811	619.692	674.431	520.645
ECI2	ECI2	2747.658	3224.183	2883.562	3414.887	4013.759	3199.476
ECM1	ECM1	795.535	674.735	582.922	276.999	382.011	451.041
ECM2	ECM2	0	3	0	0	0	0
ECRP	ECRP	1	0	0	0	0	0
ECSCR	ECSCR	0	0	0	0	0	0
ECSCR-2	ECSCR	0	0	0	0	0	0
ECSIT	ECSIT	542.174	588.813	570.986	461.435	574.496	440.929
ECT2	ECT2	667.511	864.969	887.398	1163.783	1316.165	1008.394
ECT2L	ECT2L	0	1	4	5	5	8
EDA	EDA	0	0	0	0	0	0
EDA2R	EDA2R	5	2	3	4	8	12
EDAR	EDAR	0	0	1	0	0	1
EDARADD	EDARADD	242.085	272.319	253.408	128.051	155.055	206.089
EDC3	EDC3	956.607	996.807	982.925	943.072	1040.691	916.873
EDC4	EDC4	3999.484	4100.384	3737.586	2643.476	3298.353	2774.267
EDDM3A	EDDM3A	0	0	0	0	6	0
EDDM3B	EDDM3B	0	0	0	0	0	0
EDEM1	EDEM1	723.053	845.081	726.051	630.137	669.151	651.057
EDEM2	EDEM2	348.328	385.995	333.219	458.892	529.366	318.122
EDEM3	EDEM3	1463.131	1576.255	1636.16	1377.111	1642.257	1571.041
EDF1	EDF1	3641.807	3785.341	2577.981	3076.036	3119.141	2950.743
EDIL3	EDIL3	0	0	0	1	0	1
EDN1	EDN1	0	0	0	0	0	0
EDN2	EDN2	0	0	0	0	0	0
EDN3	EDN3	0	0	0	0	0	0
EDNRA	EDNRA	0	0	0	2	0	0
EDNRB	EDNRB	0	0	0	0	0	0
EDNRB-AS1	EDNRB-AS1	0	0	0	0	0	0
EDRF1	EDRF1	592.224	592.807	629.033	564.141	690.936	542.906
EDRF1-AS1	EDRF1-AS1	0	1	0	1	0	3
EEA1	EEA1	721.458	834.291	970.804	523.147	621.16	735.381
EED	EED	805.402	921.305	824.232	635.997	712.336	691.872
EEF1A1	EEF1A1	310725.275	366498.345	312446.22	436047.138	489618.119	381573.917
EEF1A2	EEF1A2	1064.686	915.179	794.279	1028.383	1171.895	1037.835
EEF1B2	EEF1B2	6656.523	7551.136	6209.5	6034.172	6192.053	5969.47
EEF1D	EEF1D	3927.008	4543.41	3934.961	4342.97	4566.757	3529.233
EEF1DP3	EEF1DP3	0	0	0	0	0	0
EEF1E1	EEF1E1	2100.481	2250.241	1902.841	1314.825	1472.759	1505.434
EEF1E1-BLOC1S5	EEF1E1-BLOC1S5	0	5.112	0	13.94	0	0
EEF1G	EEF1G	39510.806	46062.742	39519.076	50781.07	57241.701	45253.279
EEF2	EEF2	63984.656	66945.338	57001.192	85353.86	96612.45	67552.256
EEF2K	EEF2K	1385.395	1586.978	1483.402	1934.587	2247.819	1692.393
EEFSEC	EEFSEC	191.155	247.708	185.818	172.626	222.351	201.694
EEPD1	EEPD1	115	123	90	135	147	126.057
EFCAB1	EFCAB1	0	0	0	0	0	0
EFCAB10	EFCAB10	0	4	0	0	2	0
EFCAB11	EFCAB11	176.999	190.323	181.392	222	269.227	238.047
EFCAB12	EFCAB12	12.62	15	17	60.032	57	34
EFCAB13	EFCAB13	46	42	42.013	102	74	69
EFCAB14	EFCAB14	1638.381	1961.073	1691.816	1937.965	2207.355	1879.405
EFCAB14-AS1	EFCAB14-AS1	2	1	0	0	1	1
EFCAB2	EFCAB2	518.02	577	480.178	749.651	813.429	622.843
EFCAB3	EFCAB3	0	0	0	0	0	0
EFCAB4A	EFCAB4A	504.001	493.977	447.997	398.956	504.272	516.527
EFCAB4B	EFCAB4B	457.081	466.111	457.45	207	193.001	265.811
EFCAB5	EFCAB5	0	0	1	5	3	1
EFCAB6	EFCAB6	0	0	0	0	0	0
EFCAB6-AS1	EFCAB6-AS1	0	0	0	0	0	0
EFCAB7	EFCAB7	164.999	168.164	156.088	235.001	315.684	296.975
EFCAB8	EFCAB8	0	0	0	0	0	0
EFCAB9	EFCAB9	0	0	0	0	0	0
EFCC1	EFCC1	2	0	0	3	5	3
EFEMP1	EFEMP1	18	24	21	24	20.022	17
EFEMP2	EFEMP2	11	4	9	36	32	18
EFHB	EFHB	8	7	9	14	27	18
EFHC1	EFHC1	218	247	286.51	471.594	515.257	422.073
EFHC2	EFHC2	68.006	75	80.001	94.533	100	62
EFHD1	EFHD1	205.262	216.018	172.141	78	91	108.012
EFHD2	EFHD2	1012.174	1043.449	858.21	648.483	682.287	640.259
EFNA1	EFNA1	58	66.007	51	67	94	47
EFNA2	EFNA2	1	0	0	1	0	0
EFNA3	EFNA3	130.243	138.111	98	84	104	72.034
EFNA4	EFNA4	95.27	74.855	77.009	57.936	65.715	43
EFNA5	EFNA5	9	7	8	12	9	7
EFNB1	EFNB1	48	51	36.001	30	31	25
EFNB2	EFNB2	20	15	19	7	8	10
EFNB3	EFNB3	5	1	0	1	2	0
EFR3A	EFR3A	935.695	958.126	964.532	792.747	965.935	888.62
EFR3B	EFR3B	0	0	0	1	1	0
EFS	EFS	0	0	0	0	0	0
EFTUD1	EFTUD1	849.248	997.925	858.72	936.543	1156.296	1016.207
EFTUD1P1	EFTUD1P1	0	0	0	0	0	1.009
EFTUD2	EFTUD2	6669.075	6762.395	6064.256	3623.438	4136.482	3862.064
EGF	EGF	194.092	216.167	215.79	633.677	751.867	437.312
EGFEM1P	EGFEM1P	0	0	0	0	0	0
EGFL6	EGFL6	0	0	0	0	0	0
EGFL7	EGFL7	2924.448	2544.668	2087.578	960.574	1001.094	1347.362
EGFL8	EGFL8	8.688	21.816	25.658	139.786	123.944	45.263
EGFLAM	EGFLAM	2	0	4	6	2	0
EGFLAM-AS2	EGFLAM-AS2	0	0	0	0	0	0
EGFLAM-AS4	EGFLAM-AS4	101.384	107	115	61	70.137	80.001
EGFR	EGFR	0	0	0	1	0	0
EGFR-AS1	EGFR-AS1	0	0	0	1	0	0
EGLN1	EGLN1	858.15	1071.033	864.186	888.161	1067.046	1004.178
EGLN2	EGLN2	1973.069	1862.724	1491.778	2268.212	2546.855	1978.93
EGLN3	EGLN3	210.147	231.53	185.205	104	113.431	187.626
EGOT	EGOT	0	0	1	0	0	1
EGR1	EGR1	912.073	1927.897	1599.992	121	134.418	205
EGR2	EGR2	3	3	4	1	1	1
EGR3	EGR3	0	0	0	1	1	4
EGR4	EGR4	0	0	0	0	0	0
EHBP1	EHBP1	557.117	582.762	601.449	398.427	544.013	546.304
EHBP1L1	EHBP1L1	2501.422	2669.781	2152.668	7323.597	8151.012	5102.264
EHD1	EHD1	1672.513	1606.976	1320.984	2238.926	2720.551	1849.856
EHD2	EHD2	1025	859.872	742.177	440.231	497.141	627.301
EHD3	EHD3	0	0	0	0	0	0
EHD4	EHD4	437.075	474.15	442.838	124	133.077	131.061
EHF	EHF	8	7	1	0	2	1
EHHADH	EHHADH	181	241.229	250.653	401.1	549.468	342.753
EHHADH-AS1	EHHADH-AS1	0	0	0	0	0	0
EHMT1	EHMT1	2388.718	2752.248	2435.876	2321.237	2830.243	2093.165
EHMT1-IT1	EHMT1-IT1	1	1	0	3	1	3
EHMT2	EHMT2	2373.87	2557.062	2178.184	2228.935	2628.265	2092.24
EI24	EI24	4818.241	4865.722	4418.788	3719.596	4293.752	3965.505
EID1	EID1	2808.045	3022.137	2503.836	2852.593	3150.687	2832.087
EID2	EID2	251.002	306.636	181.234	152.402	194	186.443
EID2B	EID2B	110.002	118.171	115.062	148	180.001	126.001
EID3	EID3	7	2	6	4	1	2
EIF1	EIF1	4859.086	5185.662	4587.301	5848.202	6400.49	4993.822
EIF1AD	EIF1AD	1207.905	1261.239	1123.041	837.05	998.662	973.254
EIF1AX	EIF1AX	4613.995	4848.556	4416.485	2221.156	2573.274	3134.93
EIF1AY	EIF1AY	0	0	0	0	0	0
EIF1B	EIF1B	880.458	1074.55	1010.455	1324.462	1296.292	1223.181
EIF1B-AS1	EIF1B-AS1	3	13	10	15	33	19.023
EIF2A	EIF2A	1524.065	1911.116	1701.115	1530.445	1779.092	1439.729
EIF2AK1	EIF2AK1	4386.408	5145.187	4477.564	9752.944	11636.85	8240.369
EIF2AK2	EIF2AK2	841.688	1030.559	1028.411	829.437	980.715	942.863
EIF2AK3	EIF2AK3	271	316.294	263.401	304.617	346.002	264.2
EIF2AK4	EIF2AK4	1261.184	1414.085	1407.613	1247.993	1539.805	1198.598
EIF2B1	EIF2B1	3114.009	3068.07	2806.932	1453.191	1636.087	1719.211
EIF2B2	EIF2B2	895.705	957.761	770.489	530.003	649.539	536.937
EIF2B3	EIF2B3	2216.81	2392.506	2120.218	934.308	1094.97	1128.443
EIF2B4	EIF2B4	1116.982	1136.358	843.721	722.792	839.415	737.576
EIF2B5	EIF2B5	1357.081	1558.441	1327.477	986.224	1095.275	1125.062
EIF2D	EIF2D	1972.286	2164.957	1701.216	1922.205	2442.255	1859.531
EIF2S1	EIF2S1	3529.208	3894.224	3408.443	1633.006	1902.413	2319.992
EIF2S2	EIF2S2	4860.598	6049.685	4920.24	5316.227	5990.76	5012.548
EIF2S3	EIF2S3	11882.347	13389.05	12302.977	11976.835	13832.27	12630.057
EIF3A	EIF3A	10475.316	11014.421	10566.315	7583.353	9341.122	8740.528
EIF3B	EIF3B	11045.25	12384.96	10621.095	5748.374	6414.984	6939.675
EIF3C	EIF3C	8862.849	9695.646	8409.185	4608.434	4926.704	4777.472
EIF3CL	EIF3CL	11919.757	12004.666	10706.891	8256.033	9024.482	8426.835
EIF3D	EIF3D	5051.157	5422.21	4603.512	4052.986	4707.909	3932.685
EIF3E	EIF3E	6525.249	8129.454	7727.245	8501.567	9471.13	8594.124
EIF3F	EIF3F	2936.406	3412.463	2618.202	3805.855	4804.79	3416.122
EIF3G	EIF3G	4229.131	4244.11	3520.513	2883.353	3118.56	2733.395
EIF3H	EIF3H	4938.516	5899.393	5291.949	6136.866	7206.614	5451.428
EIF3I	EIF3I	7360.752	8297.888	6505.318	3972.213	4519.824	3997.167
EIF3IP1	EIF3IP1	0	0	0	0	0	0
EIF3J	EIF3J	3548.42	3648.311	3423.806	1786.277	2148.759	2346.747
EIF3J-AS1	EIF3J-AS1	166.002	206.07	198.89	385	375.015	307.035
EIF3K	EIF3K	5101.848	5427.833	4686.491	4251.389	4647.198	3811.833
EIF3L	EIF3L	5029.297	5604.388	5133.76	6961.467	8034.028	5934.159
EIF3M	EIF3M	5958.361	6879.587	6236.504	4232.436	4786.87	4499.533
EIF4A1	EIF4A1	16546.322	17574.401	15323.616	9383.853	10412.335	10034.572
EIF4A2	EIF4A2	3922.592	4325.552	4004.918	4285.582	5183.771	4361.907
EIF4A3	EIF4A3	2714.384	2690.365	2215.019	1291.152	1390.491	1585.169
EIF4B	EIF4B	13017.683	15482.812	13903.344	19103.215	21804.388	17752.498
EIF4E	EIF4E	2373.354	2652.628	2293.487	1608.236	1771.277	1872.611
EIF4E1B	EIF4E1B	0	0	0	0	0	0
EIF4E2	EIF4E2	1118.208	1090.212	923.606	958.725	1068.341	872.093
EIF4E3	EIF4E3	94	98	97	139	127	115
EIF4EBP1	EIF4EBP1	897.225	1047.468	779.689	350.982	457.704	429.217
EIF4EBP2	EIF4EBP2	2905.828	3103.318	2760.33	5348.142	6344.508	5034.373
EIF4EBP3	EIF4EBP3	15.56	25.751	15.307	36.223	15.878	29.169
EIF4ENIF1	EIF4ENIF1	679.52	679.862	583.107	670.941	803.437	704.162
EIF4G1	EIF4G1	14624.738	14756.569	12778.206	5868.575	7166.093	8022.496
EIF4G2	EIF4G2	20422.917	21874.813	20217.045	14470.062	16868.195	15941.472
EIF4G3	EIF4G3	1482.443	1781.769	1565.247	1063.068	1302.926	1200.826
EIF4H	EIF4H	9308.267	9824.256	8105.52	7055.137	8070.633	7130.129
EIF5	EIF5	6381.001	6856.381	6695.721	4977.827	5818.422	5792.338
EIF5A	EIF5A	13012.159	13565.411	11716.279	4742.083	5621.618	6640.614
EIF5A2	EIF5A2	210.079	255	277	238.007	215.074	183.121
EIF5AL1	EIF5AL1	3.012	0	0	1.003	3.012	3.014
EIF5B	EIF5B	7582.77	8329.361	7856.463	4551.26	5304.304	5660.403
EIF6	EIF6	2973.355	2864.049	2229.044	1409.787	1479.768	1635.117
ELAC1	ELAC1	48	52	31.039	54	103	87
ELAC2	ELAC2	3394.929	3599.625	3168.637	1804.223	2102.369	1938.711
ELANE	ELANE	0	0	0	0	0	0
ELAVL1	ELAVL1	3429.58	3806.297	3433.472	2572.206	2810.698	2713.504
ELAVL2	ELAVL2	0	0	0	0	0	0
ELAVL3	ELAVL3	0	0	0	0	0	0
ELAVL4	ELAVL4	0	0	0	0	0	0
ELF1	ELF1	1331.421	1634.907	1595.827	1303.405	1593.998	1423.264
ELF2	ELF2	988.295	1074.946	1073.27	1356.804	1589.178	1392.529
ELF3	ELF3	0	0	0	1	0	0
ELF4	ELF4	1748.601	1847.075	1669.775	1592.44	2022.447	1548.997
ELF5	ELF5	0	0	0	0	0	0
ELFN1	ELFN1	34	26	25	6	12	14
ELFN2	ELFN2	0	0	0	0	0	0
ELK1	ELK1	1037.421	1061.583	852.865	953.145	1118.689	807.328
ELK2AP	ELK2AP	0	0	0	0	0	0
ELK3	ELK3	260.001	322.621	288.081	120.155	195.042	216.417
ELK4	ELK4	878.24	958.308	909.784	1090.473	1242.28	1043.678
ELL	ELL	678.192	683.859	598.418	617.388	747.845	630.711
ELL2	ELL2	1060.427	1096.201	1034.94	3648.433	4160.831	2830.216
ELL3	ELL3	18.253	26	15	28.151	43	26
ELMO1	ELMO1	13	15	16	7	15	8
ELMO1-AS1	ELMO1-AS1	0	0	0	0	0	0
ELMO2	ELMO2	655.457	648.989	583.861	590.264	773.109	613.001
ELMO3	ELMO3	182	164	145.208	138.161	179.907	142
ELMOD1	ELMOD1	0	0	0	0	0	0
ELMOD2	ELMOD2	594.007	708.036	672.111	1027.613	1207.975	995.574
ELMOD3	ELMOD3	170	199.578	216.752	370.631	466.012	291.087
ELMSAN1	ELMSAN1	797.545	840.008	728.235	452.548	550.382	612.172
ELN	ELN	0	0	0	0	0	0
ELOF1	ELOF1	1284.252	1351.735	990.099	915.691	1072.721	894.637
ELOVL1	ELOVL1	1789.218	1684.997	1393.343	2077.317	2198.832	1810.645
ELOVL2	ELOVL2	37	25	26	24	38	16.043
ELOVL2-AS1	ELOVL2-AS1	0	0	0	0	0	1
ELOVL3	ELOVL3	8	9	9	3	1	2
ELOVL4	ELOVL4	0	0	0	0	0	0
ELOVL5	ELOVL5	4479.867	5107.356	4517.581	4108.718	4681.898	4317.715
ELOVL6	ELOVL6	2049.706	2422.544	2242.738	4036.402	4685.499	3568.857
ELOVL7	ELOVL7	180.557	187.001	195.024	160	179	206.001
ELP2	ELP2	1415.781	1782.206	1689.745	1551.805	1803.088	1444.483
ELP3	ELP3	647.343	777.887	658.857	598.688	765.728	736.001
ELP4	ELP4	583.108	643.329	647.06	826.525	869.837	744.605
ELP5	ELP5	717.427	647.476	519.816	495.083	550.446	543.064
ELP6	ELP6	979.828	1052.667	889.685	993.727	1130.55	1002.407
ELSPBP1	ELSPBP1	0	0	0	0	0	0
ELTD1	ELTD1	0	0	0	0	0	0
EMB	EMB	0	0	0	0	0	0
EMBP1	EMBP1	0	1	3	3	3	1
EMC1	EMC1	1752.975	1999.372	1777.141	1325.11	1402.749	1331.327
EMC10	EMC10	609.44	633.324	509.15	513.187	631.218	546.942
EMC2	EMC2	429.833	530.035	505.264	463.488	522.618	489.22
EMC3	EMC3	1914.727	1979.04	1636.015	1682.726	1955.216	1510.929
EMC3-AS1	EMC3-AS1	806.235	788.473	709.585	1194.688	1291.569	1112.514
EMC4	EMC4	842.218	925.123	666.765	644.944	621.977	627.083
EMC6	EMC6	515.38	573.759	450.858	242.914	302.619	302.68
EMC7	EMC7	635.966	716.616	618.638	463.005	516.272	481.596
EMC8	EMC8	1024.273	1234.29	839.443	485.678	591.973	556.256
EMC9	EMC9	65.02	79.01	46.054	75	68.015	50
EMCN	EMCN	0	0	0	0	0	0
EMD	EMD	1589.439	1778.712	1415.186	1303.67	1528.219	1262.628
EME1	EME1	409.927	451.174	345.271	814.226	887.559	630.595
EME2	EME2	92.922	104	61	77	98	77
EMG1	EMG1	867.511	990.822	697.429	302.78	304	410.135
EMID1	EMID1	62.999	63	60	227	274.001	186.26
EMILIN1	EMILIN1	189	228.388	178.022	193.11	150.359	190.215
EMILIN2	EMILIN2	47.954	73	43.001	268.629	339	176.443
EMILIN3	EMILIN3	2.083	0	1.037	0	2.101	2.102
EML1	EML1	1	0	1	4	0	3
EML2	EML2	650.886	783.63	666.948	1143.103	1286.129	887.99
EML3	EML3	978.883	984.232	878.176	1052.457	1228.402	954.007
EML4	EML4	1515.675	1788.904	1591.183	823.372	1027.276	1116.398
EML5	EML5	94.551	101.247	103.257	135.553	146.944	154.825
EML6	EML6	15	15	10	15	11	15
EMP1	EMP1	0	0	0	0	0	0
EMP2	EMP2	272	261.001	246.065	858.353	910.189	721.694
EMP3	EMP3	2390.086	2427.368	1860.341	1626.237	1657.531	1593.195
EMR1	EMR1	0	0	3	3	0	0
EMR2	EMR2	473.127	482.431	466.948	234.692	263.136	273.306
EMR3	EMR3	0	0	0	0	0	0
EMR4P	EMR4P	0	0	0	0	1	0
EMX1	EMX1	5	4	2	0	1	4
